PK,LOT,DATE CREATED,CLIENT,PROJECT,Date Sent,AVID,NOTES
PL74,160912_MurderCalls_09,1/6/2017,Jupiter Films,Murder Calls (etc.),,HBIN_1633,
PL75,160912_TheDEED_09,1/6/2017,Cineflix CANADA,The Deed,,HBIN_1633,
PL76,160916_AP8_41_JINGS,1/6/2017,CINEFLIX NY,American Pickers,09/16/2016,HBIN_1634,
PL77,160921_AP8_42,1/7/2017,CINEFLIX NY,American Pickers,09/21/2016,HBIN_1635,
PL82,160925_MurderCalls_10,1/10/2017,Jupiter Films,Murder Calls (etc.),,HBIN_1638,
PL84,160926_AP8_43,1/10/2017,CINEFLIX NY,American Pickers,09/26/2016,HBIN_1637,
PL89,161007_AP8_44,1/10/2017,CINEFLIX NY,American Pickers,10/07/2016,HBIN_1641,
PL90,161008_MurderCalls_11,1/10/2017,Jupiter Films,Murder Calls (etc.),,HBIN_1642,
PL91,161014_AP8_45,1/10/2017,CINEFLIX NY,American Pickers,10/14/2016,HBIN_1643,
PL92,161014_AP8_46_JW Chase,1/10/2017,CINEFLIX NY,American Pickers,10/14/2016,HBIN_1645,
PL93,161014_AP8_47_50 Shades of Wait,1/10/2017,CINEFLIX NY,American Pickers,10/14/2016,HBIN_1644,
PL94,161018_MurderCalls_12,1/10/2017,Jupiter Films,Murder Calls (etc.),,HBIN_1647,
PL96,161101_AP8_48,1/10/2017,CINEFLIX NY,American Pickers,11/01/2016,HBIN_1648,
PL85,161108_AP8_49 Hymns & Chants,1/10/2017,CINEFLIX NY,American Pickers,11/08/2016,HBIN_1649,
PL141,161114_LeftRight_SugarHill_01,1/19/2017,LEFT/RIGHT TV,First Family Of Hip Hop,,HBIN_1650,
PL130,161118_AP8_50_Oktober Shanty,1/16/2017,CINEFLIX NY,American Pickers,11/18/2016,HBIN_1651,
PL320,161118_AP8_51,2/28/2017,CINEFLIX NY,American Pickers,11/18/2016,HBIN_1652,
PL131,161118_AP8_Extra Shanty,1/16/2017,CINEFLIX NY,American Pickers,11/18/2016,HBIN_1655,
PL142,161121_MurderCalls_13,1/19/2017,CINEFLIX NY,Murder Calls (etc.),,HBIN_1654,
PL59,161123_AP8_52,1/5/2017,CINEFLIX NY,American Pickers,11/23/2016,HBIN_1656,
PL128,161128_AP8_53,1/12/2017,CINEFLIX NY,American Pickers,11/28/2016,HBIN_1657,
PL143,161129_AP8_54,1/19/2017,CINEFLIX NY,American Pickers,11/29/2016,HBIN_1658,
PL144,161130_AP8_55,1/23/2017,CINEFLIX NY,American Pickers,11/30/2016,HBIN_1659,
PL138,161201_AP8_56,1/18/2017,CINEFLIX NY,American Pickers,12/01/2016,HBIN_1660,
PL140,161202_AP8_57,1/19/2017,CINEFLIX NY,American Pickers,12/02/2016,HBIN_1663,
PL145,161205_LEFTRIGHT_Sugar Hill 2,1/23/2017,LEFT/RIGHT TV,First Family Of Hip Hop,,HBIN_1661,
PL307,161208_AP8_59_MILITARY,2/17/2017,CINEFLIX NY,American Pickers,12/08/2016,HBIN_1662,
PL139,161212_MurderCalls_14,1/19/2017,CINEFLIX NY,Murder Calls (etc.),,HBIN_1664,
PL132,161215_TheDEED_13_NOLA,1/16/2017,Cineflix CANADA,The Deed,,HBIN_1665,
PL151,161219_AP8_58,1/26/2017,CINEFLIX NY,American Pickers,12/19/2016,HBIN_1666,
PL209,161221_AP8_61,2/2/2017,CINEFLIX NY,American Pickers,12/21/2016,HBIN_1669,
PL146,161221_MurderCalls_15,1/23/2017,CINEFLIX NY,Murder Calls (etc.),,HBIN_1668,
PL133,161221_TheDeed_NOLA2,1/16/2017,Cineflix CANADA,The Deed,,HBIN_1667,
PL280,161222_AP8_60,2/15/2017,CINEFLIX NY,American Pickers,12/22/2016,HBIN_1670,
PL281,161223_AP8_62,2/15/2017,CINEFLIX NY,American Pickers,12/23/2016,HBIN_1671,
PL295,170117_TFRG_01,2/17/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1710,
PL296,170118_AP8_63,2/17/2017,CINEFLIX NY,American Pickers,01/18/2017,HBIN_1701,
PL297,170118_AP8_64,2/17/2017,CINEFLIX NY,American Pickers,01/18/2017,HBIN_1703,
PL298,170118_TFRG_02,2/17/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1702,
PL339,170119_TFRG_03,3/22/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1704,
PL300,170123_TFRG_04,2/17/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1705,
PL301,170124_TFRG_05,2/17/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1706,
PL299,170126_AP8_65,2/17/2017,CINEFLIX NY,American Pickers,01/26/2017,HBIN_1707,
PL303,170126_TFRG_06,2/17/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1708,
PL304,170130_TFRG_07,2/17/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1709,
PL290,170131_TFRG_08,2/15/2017,CINEFLIX NY,The Filthy Rich Guide,,,
PL168,170202_JUPE_70Cop_01,2/2/2017,Jupiter Films,70's Cop Show,,HBIN_1713,
PL210,170202_JUPE_70COP_02,2/2/2017,Jupiter Films,70's Cop Show,,HBIN_1714,
PL305,170202_TFRG_10,2/17/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1712,
PL291,170214_ISLANDLIFE_01,2/15/2017,LEFT/RIGHT TV,Island Life,,SENT WITH MASTER BINS 1,
PL289,170216_JUPITER_70Cop,2/15/2017,Jupiter Films,70's Cop Show,,HBIN_1715,
PL294,170216_TFRG_FERRIS,2/16/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1716,
PL292,170221_AP8_66,2/15/2017,CINEFLIX NY,American Pickers,02/21/2017,HBIN_1719,
PL313,170222_AP8_69_AUTRY,2/22/2017,CINEFLIX NY,American Pickers,02/22/2017,HBIN_1717,
PL309,170301_TFRG_12,2/20/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1721,
PL315,170302_JUPITER_Kitty_01,2/24/2017,Jupiter Films,The Kitty Kelley Files,,HBIN_1722,
PL287,170302_TFRG_11,2/15/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1718,
PL321,170303_TFRG_13,3/3/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1725,
PL326,170310_TFRG_14_Stadium,3/10/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1726,
PL327,170313_LeftRight_Peterson_01,3/13/2017,LEFT/RIGHT TV,Scott Peterson Show,,PLAYLIST SENT VIA SA,
PL323,170316_CFLIX_TFRG_15,3/7/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1728,
PL333,170317_CFLIX_AP8_72_CARNIVAL,3/16/2017,CINEFLIX NY,American Pickers,03/17/2017,HBIN_1729,
PL283,170321_AP8_67,2/15/2017,CINEFLIX NY,American Pickers,03/21/2017,HBIN_1720,
PL349,170406_AP8_75,3/30/2017,CINEFLIX NY,American Pickers,04/06/2017,HBIN_1735,
PL357,170410_AP8_77_PONG,4/6/2017,CINEFLIX NY,American Pickers,04/10/2017,HBIN_1737,
PL344,170410_TFRG_17,3/29/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1736,
PL352,170411_AP8_76,4/5/2017,CINEFLIX NY,American Pickers,04/11/2017,HBIN_1738,
PL369,170415_AP8_50s Film,4/14/2017,CINEFLIX NY,American Pickers,04/15/2017,HBIN_1739,
PL621,170425_Light Tension,5/12/2017,Jupiter Films,Murder Calls (etc.),,,
PL284,170425_MURDERCALLS_17,2/15/2017,Jupiter Films,Murder Calls (etc.),,HBIN_1740,
PL378,170425_TFRG_20 VICE,4/25/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1741,
PL612,170501_Country,5/12/2017,CINEFLIX NY,American Pickers,05/01/2017,,
PL613,170501_Dramatic Tension,5/12/2017,Jupiter Films,Murder Calls (etc.),,,
PL614,170501_Electronica Tension,5/12/2017,Jupiter Films,Murder Calls (etc.),,,
PL615,170501_Garage Rock,5/12/2017,CINEFLIX NY,American Pickers,05/01/2017,,
PL617,170501_Hippie Jam Band,5/12/2017,CINEFLIX NY,American Pickers,05/01/2017,,
PL623,170501_SOUNDTRACK Piano Featured,5/12/2017,Jupiter Films,Murder Calls (etc.),,,
PL624,170501_Southern Rock,5/12/2017,CINEFLIX NY,American Pickers,05/01/2017,,
PL625,170501_Tense Drones,5/12/2017,Jupiter Films,Murder Calls (etc.),,,
PL358,170502_AP8_78,4/7/2017,CINEFLIX NY,American Pickers,05/02/2017,HBIN_1742,
PL379,170505_AP8_79,4/25/2017,CINEFLIX NY,American Pickers,05/05/2017,HBIN_1743,
PL386,170510_AP9_01,5/1/2017,CINEFLIX NY,American Pickers,05/10/2017,HBIN_1744,
PL398,170511_Indie Folk,5/12/2017,Scott Sternberg Productions,,,,
PL398,170511_Sternberg_IndieFolk_01,5/8/2017,Scott Sternberg Productions,,,HBIN_1745,
PL730,170522_AP9_02,5/22/2017,CINEFLIX NY,American Pickers,05/22/2017,HBIN_1747,
PL360,170522_TFRG_19,4/10/2017,CINEFLIX NY,The Filthy Rich Guide,,HBIN_1746,
PL781,170531_AP9_03,5/31/2017,CINEFLIX NY,American Pickers,05/31/2017,HBIN_1749,
PL795,170612_AP9_04,6/12/2017,CINEFLIX NY,American Pickers,06/12/2017,HBIN_1750,
PL796,170612-AP9_FRENCH,6/12/2017,CINEFLIX NY,American Pickers,06/12/2017,HBIN_1751,
PL883,170720_AP9_05,7/20/2017,CINEFLIX NY,American Pickers,07/20/2017,,
PL941,170815_AP9_06,8/14/2017,CINEFLIX NY,American Pickers,08/15/2017,,
PL968,170905_AP9_07,9/5/2017,CINEFLIX NY,American Pickers,09/05/2017,HBIN_1755,
PL994,170911_AP9_08,9/8/2017,CINEFLIX NY,American Pickers,09/11/2017,HBIN_1756,
PL1001,171002_AP9_09,10/2/2017,CINEFLIX NY,American Pickers,10/02/2017,HBIN_1757,
PL1021,171024_AP9_10,10/24/2017,CINEFLIX NY,American Pickers,10/24/2017,HBIN_1758,
