action,collision_sku,title,composer,correct_sku
KEEP,S33a1681,"Love Is Dead",S33a,S33a1681
MOVE,S33a1681,"Still Accurate",S33a,S33a16813
KEEP,S33a1691,"Navy",S33a,S33a1691
MOVE,S33a1691,"Fun Walk",S33a,S33a16913
KEEP,S33a1701,"Phone Booth",S33a,S33a1701
MOVE,S33a1701,"Cruisin' Downtown",S33a,S33a17013
KEEP,S33a1711,"Shadows",S33a,S33a1711
MOVE,S33a1711,"Dream Storms",S33a,S33a17113
KEEP,S33a1721,"About Lane",S33a,S33a1721
MOVE,S33a1721,"Creative Dances",S33a,S33a17213
KEEP,S33a1731,"Big Open",S33a,S33a1731
MOVE,S33a1731,"The Death Experts",S33a,S33a17313
KEEP,S33a1741,"Color Lights",S33a,S33a1741
MOVE,S33a1741,"Floating Balloons",S33a,S33a17413
KEEP,S33a1751,"Creation",S33a,S33a1751
MOVE,S33a1751,"Let It Rush",S33a,S33a17513
KEEP,S33a1761,"Emotions",S33a,S33a1761
MOVE,S33a1761,"Pop Moves",S33a,S33a17613
KEEP,S33a1771,"Features",S33a,S33a1771
MOVE,S33a1771,"Tense Remarks",S33a,S33a17713
KEEP,S33a1781,"Midnight Wait",S33a,S33a1781
MOVE,S33a1781,"Like A Can",S33a,S33a17813
KEEP,S33a1791,"Selected",S33a,S33a1791
MOVE,S33a1791,"Three Pictures",S33a,S33a17913
KEEP,S33a1801,"Amazing Place",S33a,S33a1801
MOVE,S33a1801,"Ocean Boulevard",S33a,S33a18013
KEEP,S33a1811,"Better Place",S33a,S33a1811
MOVE,S33a1811,"Fields Of Dirt",S33a,S33a18113
KEEP,S33a1821,"Crazy People",S33a,S33a1821
MOVE,S33a1821,"Recreational Road",S33a,S33a18213
KEEP,S33a1831,"Dealing With Them",S33a,S33a1831
MOVE,S33a1831,"All Day Ride",S33a,S33a18313
KEEP,S33a1841,"Meeting Them",S33a,S33a1841
MOVE,S33a1841,"Turn On",S33a,S33a18413
KEEP,S33a1851,"Nice To Meet You",S33a,S33a1851
MOVE,S33a1851,"Inside Fast Ball",S33a,S33a18513
KEEP,S33a1861,"Nice Weather",S33a,S33a1861
MOVE,S33a1861,"March Of Factories",S33a,S33a18613
KEEP,S33a1871,"One More Time 2",S33a,S33a1871
MOVE,S33a1871,"Room Windows",S33a,S33a18713
KEEP,S33a1901,"Big Jeans",S33a,S33a1901
MOVE,S33a1901,"Pearl Earrings",S33a,S33a19013
KEEP,S33a1921,"Boom Boxes",S33a,S33a1921
MOVE,S33a1921,"Got To Escape",S33a,S33a19213
KEEP,S33a1931,"Dirtier Road",S33a,S33a1931
MOVE,S33a1931,"Fiddle In The Middle",S33a,S33a19313
KEEP,S33a1941,"Acting Cool",S33a,S33a1941
MOVE,S33a1941,"Home Toys",S33a,S33a19413
KEEP,S33a1951,"All Fits Perfect",S33a,S33a1951
MOVE,S33a1951,"Big Deal",S33a,S33a19513
KEEP,S33a1961,"All Out",S33a,S33a1961
MOVE,S33a1961,"The Hive Mind",S33a,S33a19613
KEEP,S33a1971,"Away From Home 2",S33a,S33a1971
MOVE,S33a1971,"Nice Comments",S33a,S33a19713
KEEP,S33a1981,"Big Decision",S33a,S33a1981
MOVE,S33a1981,"Heavy Dancer",S33a,S33a19813
KEEP,S33a1991,"Calmer Weather",S33a,S33a1991
MOVE,S33a1991,"Vulnerable",S33a,S33a19913
KEEP,S33a2001,"Fancy Clothes",S33a,S33a2001
MOVE,S33a2001,"Drunk And Crazy",S33a,S33a20013
KEEP,S33a2011,"Far Lands",S33a,S33a2011
MOVE,S33a2011,"Tattooed Arms",S33a,S33a20113
KEEP,S33a2021,"Football",S33a,S33a2021
MOVE,S33a2021,"Get A Life",S33a,S33a20213
KEEP,S33a2041,"Phone Numbers",S33a,S33a2041
MOVE,S33a2041,"Gone Far Away",S33a,S33a20413
KEEP,S33a2051,"Short Talk",S33a,S33a2051
MOVE,S33a2051,"All Said That",S33a,S33a20513
KEEP,S33a2091,"Winners",S33a,S33a2091
MOVE,S33a2091,"Friendly Thing",S33a,S33a20913
KEEP,S33a2102,"Activities",S33a,S33a2102
MOVE,S33a2102,"Get Him",S33a,S33a21023
KEEP,S33a2111,"Alerts",S33a,S33a2111
MOVE,S33a2111,"Come In Now",S33a,S33a21113
KEEP,S33a2121,"Big Box",S33a,S33a2121
MOVE,S33a2121,"We Are Celebrating",S33a,S33a21213
KEEP,S33a2131,"Broken Puppets",S33a,S33a2131
MOVE,S33a2131,"Overloaded",S33a,S33a21313
KEEP,S33a2141,"Caution 2",S33a,S33a2141
MOVE,S33a2141,"Ignition Keys",S33a,S33a21413
KEEP,S33a2151,"Circles 2",S33a,S33a2151
MOVE,S33a2151,"How Am I Wrong?",S33a,S33a21513
KEEP,S33a2161,"Committee",S33a,S33a2161
MOVE,S33a2161,"So Honest",S33a,S33a21613
KEEP,S33a2172,"Dew Point",S33a,S33a2172
MOVE,S33a2172,"Gonna Happen",S33a,S33a21723
KEEP,S33a2181,"Fiction",S33a,S33a2181
MOVE,S33a2181,"So Not Happy",S33a,S33a21813
KEEP,S33a2191,"Gasp",S33a,S33a2191
MOVE,S33a2191,"Better Be Ready Now",S33a,S33a21913
KEEP,S33a2201,"Hazards",S33a,S33a2201
MOVE,S33a2201,"Text Messages",S33a,S33a22013
KEEP,S33a2211,"Hooked",S33a,S33a2211
MOVE,S33a2211,"Next To You",S33a,S33a22113
KEEP,S33a2221,"Memories 2",S33a,S33a2221
MOVE,S33a2221,"Old Days Parts",S33a,S33a22213
KEEP,S33a2231,"Motion 2",S33a,S33a2231
MOVE,S33a2231,"Hop On",S33a,S33a22313
KEEP,S33a2241,"Reports",S33a,S33a2241
MOVE,S33a2241,"Welcome Back",S33a,S33a22413
KEEP,S33a2251,"Radar",S33a,S33a2251
MOVE,S33a2251,"Their Stories",S33a,S33a22513
KEEP,S33a2261,"Small Town",S33a,S33a2261
MOVE,S33a2261,"Chances Of Winning",S33a,S33a22613
KEEP,S33a2271,"Source",S33a,S33a2271
MOVE,S33a2271,"Nice Chat",S33a,S33a22713
KEEP,S33a2281,"Admission",S33a,S33a2281
MOVE,S33a2281,"Get Them All",S33a,S33a22813
KEEP,S33a2291,"Cards",S33a,S33a2291
MOVE,S33a2291,"The Pumping Pumps",S33a,S33a22913
KEEP,S33a2301,"Employee",S33a,S33a2301
MOVE,S33a2301,"Iron Women",S33a,S33a23013
KEEP,S33a2311,"Jungle 2",S33a,S33a2311
MOVE,S33a2311,"Summer Toolkits",S33a,S33a23113
KEEP,S33a2321,"Leaves",S33a,S33a2321
MOVE,S33a2321,"Offenders",S33a,S33a23213
KEEP,S33a2331,"Privilege",S33a,S33a2331
