"HAUS_DanceConmigo_Em_R67a","Dance Conmigo","Sounds like fun summer parties and cocktails on the beach.","R67a1711"
"HAUS_RivieraBling_Em_R67a","Riviera Bling","Latin pop music with carefree summer vibes.","R67a1731"
"HAUS_EasternEye_Csharp_R67a","Eastern Eye","Middle eastern inspired track with an air of mystery.","R67a1611"
"HAUS_BukraBadBoy_Csharp_R67a","Bukra Bad Boy","Suspenseful and mysterious dramatic tension cue with a Middle Eastern vibe.","R67a1641"
"HAUS_SheikBoogie_Csharp_R67a","Sheik Boogie","Middle Eastern inspired track with a groovy beat.","R67a1651"
"HAUS_EuroFab_Am_R67a","Euro Fab","Upbeat 90's Dance.","R67a1661"
"HAUS_GossipRag_C_R67a","Gossip Rag","Fun EDM Music.","R67a1671"
"HAUS_NiceCrib_G_R67a","Nice Crib","House track with a chilled, laid back vibe.","R67a1681"
"HAUS_DeadSurferDude_A_R67a","Dead Surfer Dude","This looks like a job for Scooby Doo","R67a1691"
"HAUS_ShallWeRockThee_A_R67a","Shall We Rock Thee",".....Yes Please!","R67a1741"
"HAUS_HerStory_Dm_R67a","Her Story","Mysterious and suspenseful, with a dark undertone.","R67a1751"
"HAUS_KissAndTell_Dm_R67a","Kiss And Tell","A big orchestral dramatic tension track with elements of mystery and suspense. ","R67a1761"
"HAUS_SadBeginnings_Cm_R67a","Sad Beginnings","A suspenseful orchestral dramatic tension track with a slight feel of melancholy.","R67a1771"
"HAUS_WeShallStomp_A_R67a","We Shall Stomp","An edgy, powerful rock track with cool distorted guitars and big drums.","R67a1781"
"HAUS_BackyardJam_D_R67a","Backyard Jam","Slow, Bluesy Classic Rock","R67a1791"
"HAUS_BrokenBarnDoor_A_R67a","Broken Barn Door","Upbeat, Feel Good, American Rock n' Roll","R67a1801"
"HAUS_RomperStomper_D_R67a","Romper Stomper","Bluesy, Toe Tappin' Garage Vibe","R67a1811"
"HAUS_ChaseDown_Cm_R67a","Chase Down","Very suspenseful and tense, with a bit of an edge.","R67a1821"
"HAUS_EnemyInside_Gm_R67a","Enemy Inside","Really creepy and unsettling, with reversed piano and suspenseful sound design.","R67a1831"
"HAUS_ParanoidKiller_G_R67a","Paranoid Killer","The title of this one says it all... you better start running.","R67a1841"
"HAUS_PumpingUp_Gbm_R67a","Pumping Up","Grungy, grimy, driving rock and roll","R67a0871"
"HAUS_MoreCowbell_Am_R67a","More Cowbell","Funky rock tune with, you guessed it...cowbell!","R67a0861"
"HAUS_KnockOn_Em_R67a","Knock On","Watch out or this one might melt your face off","R67a0851"
"HAUS_DeepTissue_E_R67a","Deep Tissue","Funky and groovy, man","R67a0841"
"HAUS_ColdShower_Em_R67a","Cold Shower","Groovy rock and roll stomp","R67a0831"
"HAUS_ChickenWings_Em_R67a","Chicken Wings","Balls to the wall rock and roll","R67a0821"
"HAUS_TantricMonday_Am_R67a","Tantric Monday","1960's pop, Hippie Dippy Trippy, California Dreaming, fun and upbeat.","R67a0911"
"HAUS_SunsetBlvdHealthFoodStore_Em_R67a","Sunset Blvd Health Food Store","1960's Pop.  Hippie Dippy Trippy, California Dreaming, Fun and upbeat.","R67a0901"
"HAUS_LongWayToGo_G_R67a","Long Way To Go","1960's pop, Fun, road trippin' vibe, good driving music, happy and upbeat","R67a0891"
"HAUS_BayAreaMorning_C_R67a","Bay Area Morning","60's Pop, happy, sunny day in the park vibe","R67a0881"
"HAUS_CurioComico_Am_R67a","Curio Comico","If a bunch of drunk elephants were playing hide and seek, this would be the soundtrack!","R67a1851"
"HAUS_TrickyPicky_F_R67a","Tricky Picky","Quirky and mysterious with comical brass and pizzicato strings.","R67a1861"
"HAUS_UnderTheRubble_F_R67a","Under The Rubble","A slow paced, plodding along kind of comedic track.","R67a1871"
"HAUS_AltImage_D_R67a","Alt Image","Late 80's Rocker","R67a1882"
"HAUS_ColdBath_E_R67a","Cold Bath","Bass and drums kicking things off in a track that doesn't care what the rules are","R67a1892"
"HAUS_ManfredMan_E_R67a","Manfred Man","Stomp and clap till the cows come home","R67a1902"
"HAUS_ReversedCymbalWithFade_C_R67a","Reversed Cymbal With Fade","Dramatic Swoosh EFX","R67a1912"
"HAUS_ReversedCymbalWithStop_C_R67a","Reversed Cymbal With Stop","Dramatic Swoosh EFX","R67a1922"
"HAUS_BloodMoon_E_R67a","Blood Moon","Get ready to Rock out!","R67a1932"
"HAUS_BentOver_G_R67a","Bent Over","Edgy and Hard Alternative Rock Track","R67a1942"
"HAUS_CrunchThoseNumbers_D_R67a","Crunch Those Numbers","Edgy, Fun and Rockin' Alternative Rock Track","R67a1952"
"HAUS_DeepSlide_D_R67a","Deep Slide","Distorted guitar laying down some heavy grungy licks","R67a1962"
"HAUS_DirtRoadHitcher_Am_R67a","Dirt Road Hitcher","Distorted guitar strumming riffs of rebellion and the desire to conquer the night","R67a1972"
"HAUS_FuzzyDay_A_R67a","Fuzzy Day","Thumping drums and distorted guitar, what else could you need?","R67a1982"
"HAUS_MileHighMitch_E_R67a","Mile High Mitch","Catchy distorted guitar riffs where the bass follows suit","R67a1992"
"HAUS_OctoMan_A_R67a","Octo Man","Distorted guitar with some octave sounding effect layin down some serious riffage ","R67a2002"
"HAUS_PrimalShriek_A_R67a","Primal Shriek","Distorted fuzzy guitar layin down some catchy riffs with the bass following by example","R67a2012"
"HAUS_RomperStompHer_A_R67a","Romper Stomp Her","Catchy guitar riffs guaranteed to get you tapping your toes and bobbing your head","R67a2022"
"HAUS_SloppyMary_A_R67a","Sloppy Mary","Catchy distorted fuzzy riffs with the bass following the guitars lead","R67a2032"
"HAUS_ViejoBaby_E_R67a","Viejo Baby","Power chords with the purpose of rockin out and letting the world know the night is ours","R67a2042"
"HAUS_OnTheTrail_Bm_R13a","On The Trail","Chugging guitar tune with good distortion","R13a0191"
